Page,Standard Code
Apply Your Learning,"CCSS.RL.8.2, CCSS.SL.8.1"
Appreciate the Author’s Craft,"CCSS.RL.8.3, CCSS.RL.8.4"
Focus Words,"CCSS.L.8.6, CCSS.RI.8.4"
Instructions: Describe a time when you failed at something. What did you learn f,"CCSS.L.8.6, CCSS.SL.8.1"
Instructions: Open the lesson for “I Am the Greatest” by James Bird.,"CCSS.RL.8.2, CCSS.SL.8.1"
Preview Key Concepts and Skills,"CCSS.L.8.6, CCSS.RL.8.2"
Record “Pause and Reﬂect” answers here:,"CCSS.RL.8.2, CCSS.SL.8.1"
Share Your Plan,"CCSS.RL.8.2, CCSS.SL.8.1"
Student Guide,"CCSS.L.8.6, CCSS.RL.8.2"
Synonym (similar or like word),"CCSS.L.8.5, CCSS.L.8.6"
Write to Impress,"CCSS.L.8.1, CCSS.L.8.6"
“I Am the Greatest”,"CCSS.RL.8.2, CCSS.SL.8.1"
