Page,Activity,Standard Code,Reason
32,Student Guide,CCSS.RL.8.2,"This standard is relevant because the activity involves analyzing the theme and central idea of 'I Am the Greatest,' which aligns with determining a theme and analyzing its development."
32,Student Guide,CCSS.L.8.6,"This standard is relevant as the activity likely involves acquiring and using grade-appropriate vocabulary, which is essential for understanding and discussing the text effectively."
33,“I Am the Greatest”,CCSS.RL.8.2,"This standard is relevant as it focuses on determining the theme or central idea of a text, which aligns with the guiding question about what failure teaches us that success cannot."
33,“I Am the Greatest”,CCSS.SL.8.1,"This standard is applicable as it emphasizes engaging in collaborative discussions, which can help students express their ideas about the personal narrative and its themes."
34,Preview Key Concepts and Skills,CCSS.RL.8.2,"Students are determining the theme and analyzing the development of the text 'I Am the Greatest' by James Bird, which aligns with the standard's focus on theme analysis."
34,Preview Key Concepts and Skills,CCSS.L.8.6,"The activities include vocabulary building and comprehension, which directly support the acquisition and accurate use of grade-appropriate academic and domain-specific words."
35,Instructions: Describe a time when you failed at something. What did you learn f,CCSS.SL.8.1,"The activity encourages students to engage in discussions about their experiences with failure, allowing them to build on each other's ideas and express their own thoughts clearly."
35,Instructions: Describe a time when you failed at something. What did you learn f,CCSS.L.8.6,"The activity requires students to use grade-appropriate vocabulary to articulate their experiences and insights gained from failure, enhancing their vocabulary knowledge."
36,Synonym (similar or like word),CCSS.L.8.6,"The activity focuses on acquiring and using grade-appropriate vocabulary, which aligns with the standard's emphasis on gathering vocabulary knowledge for comprehension and expression."
36,Synonym (similar or like word),CCSS.L.8.5,"The activity involves understanding word relationships, including synonyms and antonyms, which directly relates to demonstrating understanding of figurative language and nuances in word meanings."
37,Focus Words,CCSS.L.8.6,"This standard focuses on acquiring and using grade-appropriate vocabulary, which aligns directly with the vocabulary activity that introduces and assesses understanding of specific focus words."
37,Focus Words,CCSS.RI.8.4,"This standard emphasizes determining the meaning of words and phrases in context, which is relevant to the vocabulary activity as it involves understanding the meanings of the focus words in relation to comprehension."
38,Instructions: Open the lesson for “I Am the Greatest” by James Bird.,CCSS.SL.8.1,"The activity involves engaging in collaborative discussions with partners, which aligns with the standard's focus on effective engagement in discussions."
38,Instructions: Open the lesson for “I Am the Greatest” by James Bird.,CCSS.RL.8.2,"The activity encourages students to reflect on their personal connections to the text, which relates to determining themes and analyzing their development, as outlined in the standard."
39,Record “Pause and Reﬂect” answers here:,CCSS.SL.8.1,"The activity involves engaging in collaborative discussions where students share and compare their reflections, which aligns with the standard's focus on effective engagement in discussions."
39,Record “Pause and Reﬂect” answers here:,CCSS.RL.8.2,"The 'Pause and Reflect' questions encourage students to determine themes and analyze the text, which directly relates to understanding and analyzing central ideas as outlined in this standard."
40,Apply Your Learning,CCSS.RL.8.2,"The activity requires students to determine the theme and analyze the author's message about self-confidence, which aligns with the standard's focus on determining a theme and analyzing its development."
40,Apply Your Learning,CCSS.SL.8.1,"The collaborative discussion aspect of the activity engages students in effective communication and expression of ideas, which is a key component of this standard."
41,Write to Impress,CCSS.L.8.1,"The activity focuses on revising sentences to use active verbs, which demonstrates command of standard English grammar and usage."
41,Write to Impress,CCSS.L.8.6,"The activity involves acquiring and using grade-appropriate vocabulary related to active and passive verbs, enhancing students' understanding of language."
42,Appreciate the Author’s Craft,CCSS.RL.8.3,"The activity focuses on analyzing narrative techniques, including dialogue and character development, which aligns with how incidents in a story reveal aspects of characters and propel the action."
42,Appreciate the Author’s Craft,CCSS.RL.8.4,"The emphasis on precise word choices, vivid descriptions, and sensory language in the narrative connects to determining the meaning of words and phrases and analyzing their impact on meaning and tone."
43,Share Your Plan,CCSS.RL.8.2,"This standard matches because the activity requires students to determine a theme or central idea of the text and analyze its development, which aligns with the prompt about the author's message regarding self-confidence."
43,Share Your Plan,CCSS.SL.8.1,"This standard matches as the activity involves engaging in collaborative discussions with peers, allowing students to build on each other's ideas and express their own clearly, which is a key component of the 'Share Your Plan' activity."
